best_bid_cl_vol,best_bid_cl_pr,best_ask_cl_vol,best_ask_cl_pr,pr_change_percent,pr_change_val,previous_cl_pr,all_day_vwap,closing_pr,low_pr,high_pr,open_pr,no_of_trans,tr_val,tr_vol,company,date
196,19.335,821,19.4,0.29%,0.55,19.28,19.194,19.335,18.999,19.379,19.2,710,"44,366,617.97","231,145",QNBK,3-Jan-19
"1,500",19.484,"3,151",19.486,0.78%,1.51,19.335,19.457,19.486,19.301,19.499,19.301,109,"8,661,152.91","44,515",QNBK,6-Jan-19
237,19.44,488,19.5,-1.01%,-1.98,19.698,19.511,19.5,19.499,19.6,19.6,498,"45,612,206.14","233,781",QNBK,8-Jan-19
111,19.435,"9,056",19.6,0.51%,1,19.5,19.568,19.6,19.49,19.601,19.5,464,"49,427,890.55","252,600",QNBK,9-Jan-19
80,19.3,"6,567",19.75,0.77%,1.5,19.6,19.656,19.75,19.4,19.75,19.435,566,"62,064,015.35","315,750",QNBK,10-Jan-19
368,19.65,"5,000",19.688,-0.50%,-0.99,19.75,19.791,19.651,19.611,19.801,19.8,47,"26,870,445.19","135,772",QNBK,13-Jan-19
"11,120",19.6,"41,147",19.8,0.76%,1.49,19.651,19.732,19.8,19.5,19.8,19.71,664,"65,028,528.27","329,554",QNBK,14-Jan-19
"3,911",19.85,"122,045",20,1.01%,2,19.8,19.874,20,19.6,20,19.8,111,"48,837,309.36","245,735",QNBK,15-Jan-19
350,19.85,"17,450",19.9,-0.50%,-1,20,19.944,19.9,19.6,20,19.69,244,"82,113,904.59","411,732",QNBK,16-Jan-19
"1,000",19.71,"4,000",19.8,-0.50%,-1,19.9,19.756,19.8,19.499,19.9,19.9,220,"45,487,672.92","230,244",QNBK,17-Jan-19
"1,935",19.79,"2,600",19.795,-0.03%,-0.05,19.8,19.795,19.795,19.75,19.8,19.8,95,"16,818,051.60","84,959",QNBK,20-Jan-19
"7,250",19.77,"22,624",19.799,0.02%,0.04,19.795,19.799,19.799,19.761,19.8,19.8,258,"46,415,121.92","234,436",QNBK,21-Jan-19
80,19.652,"4,041",19.8,0.01%,0.01,19.799,19.799,19.8,19.602,19.8,19.602,168,"49,200,457.17","248,502",QNBK,22-Jan-19
3,19.665,"20,207",19.798,-0.01%,-0.02,19.8,19.75,19.798,19.5,19.8,19.8,86,"30,657,179.66","155,230",QNBK,23-Jan-19
"6,805",19.8,"31,911",19.85,0.26%,0.52,19.798,19.825,19.85,19.6,19.85,19.8,154,"45,149,277.45","227,736",QNBK,24-Jan-19
800,19.75,"11,401",19.85,0.00%,0,19.85,19.831,19.85,19.798,19.85,19.85,140,"25,619,373.57","129,188",QNBK,27-Jan-19
